Burn My Dread,Persona 3,Persona,https://youtu.be/AcCoPQE6g10
Troubled,Persona 3,Persona,https://youtu.be/6bocgRwJnug
Unavoidable Battle,Persona 3,Persona,https://youtu.be/sqbsVjwXo3o
When the Moon's Reaching Out Stars,Persona 3,Persona,https://youtu.be/-kRJUKA_dFw
Iwatodai Dorm,Persona 3,Persona,https://youtu.be/egKF1UvMcZA
Mass Destruction,Persona 3,Persona,https://youtu.be/BjQHhDTbPCA
Paulownian Mall,Persona 3,Persona,https://youtu.be/BkoQo3eSAm4
During the Exams...,Persona 3,Persona,https://youtu.be/25kw75bLVFI
Joy,Persona 3,Persona,https://youtu.be/y7nIywla0DU
A Deep Mentality,Persona 3,Persona,https://youtu.be/YDIDv8nKQBI
Master of Tartarus,Persona 3,Persona,https://youtu.be/EVOK4_vdF9I
Living With Determination,Persona 3,Persona,https://youtu.be/oYuzXkDRRXE
Afternoon Break,Persona 3,Persona,https://youtu.be/8HHPdJMzT_4
Jika Net Tanaka,Persona 3,Persona,https://youtu.be/FBI5u4Vjn2M
Mistic,Persona 3,Persona,https://youtu.be/_8gT61NVLDk
The Battle for Everyone's Souls,Persona 3,Persona,https://youtu.be/DwzOrmQ43MQ
Burn My Dread -Last Battle-,Persona 3,Persona,https://youtu.be/-chq2BWWMhA
Bonds,Persona 3,Persona,https://youtu.be/HLsaHaxpsNU
Memories of You,Persona 3,Persona,https://youtu.be/JiKMzXwOH-E
A Way of Life,Persona 3 Portable,Persona,https://youtu.be/Fd6MW-XhO5I
After School,Persona 3 Portable,Persona,https://youtu.be/I7deyDxjdT0
Time,Persona 3 Portable,Persona,https://youtu.be/pfaPQibemwE
Wiping All Out,Persona 3 Portable,Persona,https://youtu.be/-iy47Q--EbU
Sun,Persona 3 Portable,Persona,https://youtu.be/zXX94yJgTz4
Danger Zone,Persona 3 Portable,Persona,https://youtu.be/cwABWVby-Xw
Pursuing My True Self,Persona 4,Persona,https://youtu.be/fkDqV4rkDMk
Glimpse of a Memory,Persona 4,Persona,https://youtu.be/J-3tfKSQrp8
Aria of the Soul,Persona 4,Persona,https://youtu.be/2EhpEnGgXoc
New Days,Persona 4,Persona,https://youtu.be/ywIW7fKZrd8
Signs of Love,Persona 4,Persona,https://youtu.be/1tzyvKy_ipw
Your Affection,Persona 4,Persona,https://youtu.be/Wi2JEKWAeFY
Like a Dream Come True,Persona 4,Persona,https://youtu.be/nI4easD-tAk
Reach Out to the Truth -First Battle-,Persona 4,Persona,https://youtu.be/wYNVPTMkaXE
SMILE,Persona 4,Persona,https://youtu.be/xNDMYTI4Hbg
Backside of the TV,Persona 4,Persona,https://youtu.be/G9qjbvXmSyg
Castle,Persona 4,Persona,https://youtu.be/Xb3mlBayMlY
Border of Insanity,Persona 4,Persona,https://youtu.be/goMIUwWI-qY
I'll Face Myself -Battle-,Persona 4,Persona,https://youtu.be/7S2w0qIykdI
I'll Face Myself,Persona 4,Persona,https://youtu.be/OtIxJwEZ-DY
